Model,MDO3104
Firmware Version,1.10

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-05,
Horizontal Delay,-2.18e-05,
Sample Interval,2e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,5,500
Vertical Units,A,V
Vertical Offset,0,0
Vertical Scale,1,250
Vertical Position,-0.66,-0.66
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.155400e-04,0.0173437,7.22656
-1.155200e-04,0.005,2.14844
-1.155000e-04,0.01375,7.22656
-1.154800e-04,0.0135938,5.78125
-1.154600e-04,0.0154688,8.59375
-1.154400e-04,0.00890625,6.875
-1.154200e-04,0.0101562,6.52344
-1.154000e-04,0.006875,7.1875
-1.153800e-04,0.014375,7.14844
-1.153600e-04,0.00734375,6.25
-1.153400e-04,0.0182813,5.46875
-1.153200e-04,0.0157812,7.03125
-1.153000e-04,0.008125,7.14844
-1.152800e-04,0.011875,5.9375
-1.152600e-04,0.0132813,5.03906
-1.152400e-04,0.0139063,9.10156
-1.152200e-04,0.0151562,6.79688
-1.152000e-04,0.0198438,6.52344
-1.151800e-04,0.0117188,8.04688
-1.151600e-04,0.0179687,7.8125
-1.151400e-04,0.0167188,4.14062
-1.151200e-04,0.0132813,6.01562
-1.151000e-04,0.0103125,4.92188
-1.150800e-04,0.0175,3.71094
-1.150600e-04,0.02,5.97656
-1.150400e-04,0.0165625,4.84375
-1.150200e-04,0.0135938,6.79688
-1.150000e-04,0.01375,5.46875
-1.149800e-04,0.013125,8.75
-1.149600e-04,0.0117188,6.71875
-1.149400e-04,0.0139063,8.125
-1.149200e-04,0.01125,5.46875
-1.149000e-04,0.016875,6.875
-1.148800e-04,0.0121875,3.75
-1.148600e-04,0.0059375,7.42188
-1.148400e-04,0.0096875,7.34375
-1.148200e-04,0.0185937,4.72656
-1.148000e-04,0.008125,5.35156
-1.147800e-04,0.00734375,6.64062
-1.147600e-04,0.013125,6.44531
-1.147400e-04,0.009375,7.07031
-1.147200e-04,0.0090625,6.79688
-1.147000e-04,0.0126563,6.09375
-1.146800e-04,0.0123437,6.875
-1.146600e-04,0.00921875,6.44531
-1.146400e-04,0.01125,6.875
-1.146200e-04,0.0120313,2.89062
-1.146000e-04,0.01375,5.74219
-1.145800e-04,0.00953125,6.83594
-1.145600e-04,0.0134375,6.67969
-1.145400e-04,0.0167188,7.30469
-1.145200e-04,0.0110938,7.65625
-1.145000e-04,0.0154688,6.36719
-1.144800e-04,0.015,7.22656
-1.144600e-04,0.0121875,4.60938
-1.144400e-04,0.015625,8.24219
-1.144200e-04,0.0167188,6.05469
-1.144000e-04,0.0214063,6.5625
-1.143800e-04,0.0126563,6.75781
-1.143600e-04,0.0145312,5.42969
-1.143400e-04,0.0146875,5.625
-1.143200e-04,0.0151562,5.97656
-1.143000e-04,0.0139063,5.78125
-1.142800e-04,0.0103125,5.23438
-1.142600e-04,0.0151562,6.25
-1.142400e-04,0.0167188,5
-1.142200e-04,0.0146875,7.07031
-1.142000e-04,0.020625,8.28125
-1.141800e-04,0.0110938,8.125
-1.141600e-04,0.015625,5.50781
-1.141400e-04,0.0204688,5.46875
-1.141200e-04,0.0134375,9.02344
-1.141000e-04,0.0153125,6.01562
-1.140800e-04,0.0145312,7.26562
-1.140600e-04,0.0126563,5.66406
-1.140400e-04,0.00859375,7.38281
-1.140200e-04,0.02,6.91406
-1.140000e-04,0.00625,8.47656
-1.139800e-04,0.0135938,7.30469
-1.139600e-04,0.0132813,5.74219
-1.139400e-04,0.01375,7.8125
-1.139200e-04,0.0170313,5.42969
-1.139000e-04,0.0125,7.14844
-1.138800e-04,0.0114063,7.14844
-1.138600e-04,0.0128125,7.8125
-1.138400e-04,0.0128125,8.51562
-1.138200e-04,0.00578125,6.44531
-1.138000e-04,0.00703125,6.75781
-1.137800e-04,0.015,5.625
-1.137600e-04,0.010625,6.05469
-1.137400e-04,0.0107812,4.41406
-1.137200e-04,0.0121875,6.71875
-1.137000e-04,0.0121875,6.36719
-1.136800e-04,0.00109375,7.26562
-1.136600e-04,0.0178125,6.83594
-1.136400e-04,0.0140625,6.95312
-1.136200e-04,0.0148438,4.57031
-1.136000e-04,0.0129687,5.07812
-1.135800e-04,0.0123437,5.97656
-1.135600e-04,0.0165625,6.21094
-1.135400e-04,0.013125,5.39062
